"","cartodb_id","the_geom","plazas_hoteleras_aprobadas_en_planeamiento","ubicacion_codigo_ine_municipio","archivos_adjuntos","material_grafico","enlaces_noticias","dominio_publico","zonificacion_nivel_proteccion","nombre_figuras_proteccion_ambiental","figuras_proteccion_ambiental","entidades_financieras","concurso_acreedores","cuantia_hipoteca","hipoteca_cargas","fallo","tribunal_dicta","n_fecha_sentencias","sentencias_judiciales","recursos_interpuestos","otros_urbanistico_politica","licencia_urbanistico_politica","proyecto_urbanistico_politica","modificacion_urbanistico_politica","plan_parcial_urbanistico_politica","convenio_urbanistico_politica","otros_planeamiento_tecnico_redactor","licencia_obras_planeamiento_tecnico_redactor","proyecto_urbanistico_planeamiento_tecnico_redactor","modificacion_pgou_planeamiento_tecnico_redactor","plan_parcial_planeamiento_tecnico_redactor","convenio_urbanistico_planeamiento_tecnico_redactor","otras_fechas_planeamiento_fecha_licencia","licencia_obras_planeamiento_fecha_licencia","proyecto_urbanistico_planeamiento_fecha_licencia","modificacion_pgou_planeamiento_fecha_licencia","plan_parcial_planeamiento_fecha_licencia","convenio_urbanistico_planeamiento_fecha_licencia","numero_de_visitantes_previsto_aplicable_centros_de_ocio_planeam","numero_habitantes_previsto_planeamiento","parcelas_uso_equipamiento_aprobadas_planeamiento","parcelas_uso_comercial_aprobadas_en_planeamiento","parcelas_uso_industrial_aprobadas_en_planeamiento","viviendas_aprobadas_en_planeamiento","edificabilidad_absoluta_planificada_o_aprobada","comentarios_tipologia","tipologia_edificatoria","comentarios_otros","uso","ubicacion_codigo_ine_provincia","descripcion_propiedad","arquitecto_o_tecnico_redactor","constructor","promotor","comentarios_otras_opciones","estado_actual","parcelas_uso_equipamiento_construidas","parcelas_uso_comercial_construidas","parcelas_uso_industrial_construidas","plazas_hoteleras_construidas","viviendas_construidas","suelo_ocupado_actual","superficie_construida","superficie_terreno","padre_adoptivo","fecha_autor_fuente_de_la_foto","enlance_a_mapa_foto_aerea","enlace_web","fuente","tipologia_asentamiento_secundario","tipologia_asentamiento_principal","comunidad_autonoma","provincia","municipio","direccion","latitud_longitud","nombre_urbanistico","nombre_promocional","latitud","longitud"
"139",139,"0101000020E6100000999F1B9AB253EDBF2EA9DA6E82EF4240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2100",,,,"600","47829",,"Vivienda unifamiliar pareada o adosada",,"Residencial Unifamiliar",,,,,,,"Edificación no terminada",,,,,,,,"239171","Ruinas Modernas",,,"http://www.juliaschulzdornburg.com/cas/sucina-golf-country-club","Ruinas Modernas","DEO - Desarrollo ligado a instalaciones de ocio","NEU - Nueva entidad urbana","Región de Murcia",,"Murcia","Jerónimos y Avileses","37.871168, -0.916467","ZU-SP-JA7 “Finca Sucina Golf”","Sucina Golf",37.871168,-0.916467
"140",140,"0101000020E6100000349D9D0C8E12F1BF280B5F5FEBEC4240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"Vivienda unifamiliar pareada o adosada",,"Residencial Unifamiliar",,,,,,,"Edificación no terminada",,,,,,,,,"Ruinas Modernas",,,"http://www.nacionrotonda.com/2013/05/los-alcazares-murcia-2002-2011.html","Mediturban-Nación Rotonda","DEO - Desarrollo ligado a instalaciones de ocio","NEU - Nueva entidad urbana","Región de Murcia",,"Murcia","Los Alcáceres","37.850933,-1.06703","SUE ""Torre del Rame""","La Serena Golf and Beach Resort",37.850933,-1.06703
"141",141,"0101000020E610000012BEF737686FF5BF26732CEFAAE34240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"Vivienda unifamiliar pareada o adosada",,"Residencial Unifamiliar",,,,,,,"Edificación no terminada",,,,,,,,,"Ruinas Modernas",,,,"Mediturban-6000km",,"DEO - Desarrollo ligado a instalaciones de ocio","Región de Murcia",,"Murcia","Alhama de Murcia","37.778654, -1.339699","PEO complejo turístico- recreativo "" Parque temático Paramount","Paramount Park Murcia & Lifestylecentre",37.778654,-1.339699
"142",142,"0101000020E6100000BCAFCA85CAFFF6BFB6F81400E3214340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"Vivienda unifamiliar pareada o adosada",,"Residencial Unifamiliar",,,,,,,"Edificación no terminada",,,,,,,,,"Ruinas Modernas",,,,"Mediturban",,"ZIP - Zona industrial vinculada a población","Región de Murcia",,"Murcia","N-301, 30535 Cieza","38.264740, -1.437449",,"Polígono Industrial "" Los Prados""",38.26474,-1.437449
"143",143,"0101000020E6100000E25CC30C8DE7FDBF89EAAD81AD164340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"Vivienda unifamiliar pareada o adosada",,"Residencial Unifamiliar",,,,,,,"Edificación no terminada",,,,,,,,,"Ruinas Modernas",,,,"Mediturban",,"ZIA - Zona industrial aislada","Región de Murcia",,"Murcia","Hacienda del Alderete, ctra de Caravaca, km 11. Moratalla","38.177170, -1.869031","SECTOR URSAE-2 ","Polígono industrial "" Los alderetes""",38.17717,-1.869031
"144",144,"0101000020E6100000000000402A1AF2BF0BE82C57CC004340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edificación no terminada",,,,,,,,"7000","jafesan",,,,,,"TEP - Terciario vinculado a población",,,"Murcia",,"38.00623597805687,-1.1313879489898682",,"Edificio academia infantería",38.0062359780569,-1.13138794898987
"145",145,"0101000020E61000009A07B0C8AF5FF2BF30478FDFDB004340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Un enorme esqueleto de hormigon de unas 15 - 17 plantas relativamente cerca del nucleo urbano pensada para ser oficinas. Lleva asi unos 6 años, antes tenia una grua pero la quitaron hace un año. El edificio de al lado tambien sin uso pero acabado tiene un guardia que a veces te dice que no puedes entrar, otras no se da cuenta.","Edificación no terminada",,,,,,,,"9072","Roger Otein",,,,,,"TEP - Terciario vinculado a población",,,"Murcia","c/ central 17","38.006710, -1.148361",,"Torre Invercón",38.00671,-1.148361
"146",146,"0101000020E6100000CA367007EA54FABF6C2409C2150A4540",,,,,,,,,,,,,,,,,,,,,,,,,"Francisco, Javier Fernandez Militino, J. Javier Pascual Goñi",,,,,,"Plan Sectorial de Incidencia Supramunicipal 05/2005",,,,,"5/22/2003",,,,,,,"1401099m2",,"Volumen específico",,"Industrial",,,,,"NASUINSA, Navarra de Suelo Industrial S.A., Ayuntamiento de Tudela","el Polígono industrial tiene uso parcial","Urbanización no terminada",,,,,,,,"5110594","Ruinas Modernas","IGN-PNOA fecha vuelo: 06-2012","http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=611096&y=4659036&zone=30&r=930&visible=PNOA;","http://www.juliaschulzdornburg.com/cas/area-industrial-la-serna","Ruinas Modernas",,"ZIP - Zona industrial vinculada a población","Navarra",,"Tudela","parajes Corraliza, de las Labradas y Corraliza de la Serna,","42.078789, -1.645731","Área Industrial de Actividades Económicas de Tudela, polígono “La Serna”","Área Industrial de Actividades Económicas de Tudela “La Serna”-Ciudad Agroalimentaria de Tudela",42.078789,-1.645731
"147",147,"0101000020E6100000FB928D075BECB2BFF7CDFDD5E36A4340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PAI, octubre 2001",,,,,,,,,,,"1949","298355.93",,"Bloque adosado",,"Residencial Colectivo",,,,"Fadesa","Urbanizadora Penya Roja S.A, Martinsa Fadesa S.A.","edificación no terminada","Urbanización no terminada",,,,,,,,"1987981.61","Ruinas Modernas","IGN-PNOA fecha vuelos: 06-2014","http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=754180&y=4302694&zone=30&r=930&visible=PNOA;","http://www.juliaschulzdornburg.com/cas/urbanizacion-bella-rotja","Ruinas Modernas, Mediturban",,"NEU - Nueva entidad urbana","Comunidad Valenciana","Alicante","Pego","Urbanización Penya Roja, 261. 03789 ","38.835078, -0.073919","Sector Penya Roja","Urbanización Bella Rotja",38.835078,-0.073919
"148",148,"0101000020E6100000F30181CEA44DA13FC182458F291A4440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AL ser un aeropuerto está compuesto por la terminal y la pista.","Otros",,"Dotacional Infraestructuras",,,,,,,"Edificación terminada sin uso",,,,,,,,"5423000","Montera34",,,"http://www.6000km.org/localizaciones/aeropuerto-de-castellon/","6000km",,"TIA - Infraestructuras de impacto territorial ","Comunidad Valenciana","Castellón","Benlloch","Aeroport de Castelló, Carretera CV-13, Km 2.4, 12181","40.2043933,0.0337955",,"Aeropuerto de Castellón-Costa Azahar",40.2043933,0.0337955
